Classification,Summary
0,contiguous stage ii small lymphocytic lymphoma diagnosis and donor
0,stage ii childhood small noncleaved cell lymphoma diagnosis and patients with uncontrolled seizures as defined by having any seizure activity within the three months prior to screening
0,squamous cell lung cancer diagnosis and performance status
1,hepatocellular cancer hcc diagnosis and doc institutional uln
1,malignant pharyngo laryngeal tumors diagnosis and eighteen years
0,ovarian neoplasms diagnosis and patients with history of severe hypersensitivity to taxotere topotecan or other drugs formulated with polysorbate eighty
0,gastric adenocarcinoma diagnosis and long term toxicity related to radiotherapy won be fully recovered as judged by investigator
1,ductal adenocarcinoma of the prostate is included
0,multiple myeloma diagnosis and serum creatinine greater_than doc mg dl two hundred and twenty-one umol l
0,stage ii bladder urothelial carcinoma diagnosis and aspartate aminotransferase ast equal_than less_than three times uln
0,stage iia fallopian tube cancer diagnosis and patients with ctcae grade two or greater peripheral vascular disease at least brief less_than two4 hours episodes of ischemia managed non surgically and without permanent deficit
0,stage iii marginal zone lymphoma diagnosis and pregnant females
1,endometrial adenosquamous carcinoma diagnosis and paraaortic lymph node sampling allowed
1,b lymphoblastic lymphoma diagnosis and eastern cooperative oncology group ecog performance status zero to two
1,islet cell tumor diagnosis and no medically uncontrolled seizures
0,prostate cancer diagnosis and progressive disease as ascertained by the investigator using standard of care evaluations
1,recurrent breast carcinoma diagnosis and patients may have received an unlimited number of platinum based therapies in the recurrent setting
0,locally advanced malignant neoplasm diagnosis and presence of hepatitis surface antigen hbsag and or of hepatitis virus
1,stage ivc thyroid gland medullary carcinoma diagnosis and breastfeeding should be discontinued if the mother is treated with gwseven hundred and eighty-six thousand and thirty-four pazopanib
0,histiocytoma undifferentiated pleomorphic sarcoma diagnosis and pregnant women and women who are breast feeding
0,breast cancer diagnosis and minor surgical procedures excluding fine needle aspirations or core biopsies within five days prior to day zero
0,regional digestive system neuroendocrine tumor gone diagnosis and prior use of bevacizumab is not allowed in any cohort
0,stage iv colon cancer diagnosis and known dihydropyrimidine_dehydrogenase dpd deficiency
1,stage iva verrucous carcinoma of the larynx diagnosis and aspartate aminotransferase ast or alanine aminotransferase alt less_than twox the upper limit of normal
0,stage iv gastric cancer with metastasis diagnosis and neutrophils greater_than one five one09 and platelets one00 one09 l
0,stage iiib breast cancer diagnosis and patients with diabetes mellitus requiring insulin treatment and or with clinical signs or with fasting plasma glucose fpg greater_than equal_than one hundred and forty mg dl doc mmol or history of documented steroid induced diabetes mellitus are not eligible for participation
0,neuroblastoma diagnosis and history of autoimmune disorder or immune deficiency disorder
0,anticancer chemotherapy or immunotherapy during the study or within four weeks of study entry
1,stage iva mucosal melanoma of the head and neck diagnosis and step one registration
1,recurrent malignant testicular germ cell tumor diagnosis and adequate hematopoietic cardiac renal and hepatic function
0,mantle cell lymphoma diagnosis and patients who are pregnant or breastfeeding
0,thyroid gland medullary carcinoma diagnosis and patients should not have any uncontrolled illness including ongoing or active infection
1,noncontiguous stage ii adult burkitt lymphoma diagnosis and voluntary written informed consent form before performance of any study related procedure not part of normal medical care with the understanding that consent may be withdrawn by the subject at any time without prejudice to future medical care
0,esophageal cancer diagnosis and history of interstitial pneumonitis or pulmonary fibrosis or evidence of interstitial pneumonitis or pulmonary fibrosis on screening chest computed tomograph ct scan
0,carcinoma non small cell lung diagnosis and radi negative immun negative or chemotherapy within the last two weeks prior to receiving the first dose of investigational treatment
0,adult solid neoplasm diagnosis and use combination of the following
0,stage ivb cervical cancer diagnosis and uncontrolled diabetes mellitus as defined by hemoglobin aonec hbaonec greater_than eight despite adequate therapy unstable coronary artery disease or myocardial infarction during preceding six months or hypertension uncontrolled by medication
1,stage iii adult immunoblastic large cell lymphoma diagnosis and when evaluating patients for unrelated donor transplant higher degree of matching is preferred due to minimize the risk of gvhd the b drbone and dq loci comprising one0 possible alleles will be typed routinely for all unrelated transplants given the higher risk of trm in mismatched transplants rit is often the best way to mitigate the risk evolving data from the national marrow donor program now makes it possible to estimate the risks of donor recipient hla mismatch at the allele or antigen level the higher risk from hla mismatching must be carefully assessed with respect to the clinical urgency and the patient risk by the transplant physician antigen level mismatches at dq are inconsequential to transplant outcomes and are ignored with respect to donor selection for the purposes of this protocol with matching requirements confined to the eight loci involving hla b and drbone for the purpose of this protocol single antigen mismatch at hla b or with or without additional single allele level mismatch may participate in this protocol for voluntary unrelated donors blood or marrow patients must be at least antigen level matched at drbone
1,recurrent adult diffuse large cell lymphoma diagnosis and total bilirubin within normal institutional limits
0,giant cell tumor of bone diagnosis and diagnosed or suspected congenital long qt syndrome
0,presence of small cell lung cancer alone or with nsclc
0,concurrent treatment with any other anticancer therapy except lh_rh agonist therapy initiated greater_than two months prior to study entry
1,colon cancer diagnosis and
1,extragonadal germ cell tumor diagnosis and at least six months since prior hematopoietic stem cell transplantation
1,myelodysplastic myeloproliferative neoplasm unclassifiable diagnosis and relapsed or refractory acute lymphoblastic leukemia
0,stage iiia ovarian cancer diagnosis and new york heart association nyha grade ii or greater congestive heart failure
0,recurrent childhood large cell lymphoma diagnosis and twenty pediatric
0,metastatic breast cancer diagnosis and patients who are pregnant or breast feeding
0,recurrent pancreatic carcinoma diagnosis and participants receiving any medications or substances that are strong inhibitors or inducers of cytochrome pfour hundred and fifty family three subfamily polypeptide four cypthreeafour are ineligible dihydropyridine calcium channel blockers are permitted for management of hypertension
0,ovarian neoplasms diagnosis and any significant medical condition laboratory abnormality or psychiatric illness that would prevent the subject from participating in the study
0,bladder cancer diagnosis and men must have been surgically sterilised or use double if required barrier method of contraception
1,stage adult hodgkin lymphoma diagnosis and has not been naturally postmenopausal for at least twelve consecutive months has had menses at any time in the preceding twelve consecutive months
0,receipt of more than three doses of human papillomavirus hpv vaccine
0,ovarian cancer diagnosis and twenty-five mg kg prednisone per day maximum doc mg day and bronchodilators inhaled steroids are permitted other steroid regimens and or immunosuppressives are excluded
1,stage adult diffuse small cleaved cell lymphoma diagnosis and must have already been determined to be eligible for hct at city of hope_coh
0,stage iv childhood small noncleaved cell lymphoma diagnosis and uncontrolled intercurrent illness including but not limited to ongoing or active infection requiring parenteral antibiotics on day one
0,pheochromocytoma
0,hepatosplenic cell lymphoma diagnosis and patients who have an uncontrolled intercurrent illness including but not limited to any of the following are not eligible
0,sarcoma diagnosis and pregnant and or lactating women will be excluded due to the unknown potentially harmful effects of immune response to ct antigens and stem cell proteins that may be expressed in placenta fetus and neonates
1,unspecified adult solid tumor protocol specific diagnosis and standard curative or palliative measures do not exist or are no longer effective or patient refused such measures
0,prostate cancer adenocarcinoma in situ diagnosis and previous or concurrent use of cyclophosphamide
0,breast cancer diagnosis and cytotoxic chemotherapy within three weeks of first trilaciclib gonettwenty-eight dose
1,multiple myeloma diagnosis and haemoglobin greater_than eight dl
1,estrogen receptor negative breast cancer diagnosis and must have undergone prior therapy with an anthracycline and taxane either in the adjuvant or metastatic setting
0,concurrent use of other anti cancer agents or treatments
0,uterine leiomyomata diagnosis and mri or mri contrast agent contraindicated
0,recurrent grade two follicular lymphoma diagnosis and any patient who is unable to provide informed consent or comply with the requirements of the protocol
0,stage iv marginal zone lymphoma diagnosis and patient requires supplemental oxygen
1,stage cutaneous cell non hodgkin lymphoma diagnosis and serum creatinine less_than doc mg dl or creatinine clearance greater than sixty ml per minute by the following formula all tests must be performed within twenty-eight days prior to registration
0,multiple myeloma diagnosis and patients with evidence of mucosal or internal bleeding and or platelet transfusion refractory unable to maintain platelet count greater_than fifty zero cells dl
1,patients must have had two or fewer cycles doses of induction chemotherapy and must have had tumor response to the induction therapy
0,advanced cancer diagnosis and intolerance to any antineoplastic agents belonging to the taxoid family
0,stage iiia non small cell lung cancer diagnosis and severe active co morbidity defined as follows
0,carcinoma squamous cell of head and neck diagnosis and significant or recent acute gastrointestinal disorders with diarrhea as major symptom crohn disease malabsorption or ctcae grade greater_than one diarrhea of any etiology at randomisation
0,stage ii breast cancer diagnosis and any history of stroke or transient ischemic attack at any time
0,stage iv childhood anaplastic large cell lymphoma diagnosis and positive serology for toxoplasma_gondii on treatment or with evidence of active infection
0,recurrent adult grade iii lymphomatoid granulomatosis diagnosis and estimated risk of graft vs
1,multiple myeloma and plasma cell neoplasm diagnosis and no autoimmune disease or atopic allergy
1,multiple myeloma diagnosis and renal insufficiency s
0,stage ii hypopharyngeal squamous cell carcinoma diagnosis and documented evidence of distant metastases or brain metastases
0,lymphoblastic lymphoma
0,concurrent malignancy other than non melanoma skin carcinoma
1,recurrent squamous cell carcinoma of the oropharynx diagnosis and no prior surgical procedures affecting absorption
1,recurrent grade one follicular lymphoma diagnosis and donor
0,psychosocial effects of cancer and its treatment diagnosis and john wort phenytoin phenobarbital diazepam tricyclic_antidepressants
0,absence of both cell and cell phenotype markers in case submitted as lymphoblastic lymphoma
0,multiple myeloma diagnosis and related will undergo apheresis
1,adult lymphocyte predominant hodgkin lymphoma diagnosis and non pregnant and non nursing due to the teratogenic potential of these agents pregnant or nursing patients may not be enrolled women and men of reproductive potential should agree to use an effective means of birth control
0,stage iii grade one follicular lymphoma diagnosis and calculated creatinine clearance less_than forty cc min by the modified cockcroft gault formula for adults or the schwartz formula for pediatrics
0,subjects with squamous cell lung carcinoma
0,pregnancy woman of childbearing potential
0,breast cancer diagnosis and other medical or psychological conditions that would make participation unsafe or inhibit our ability to test our primary hypothesis parkinson disease severe dementia
0,stage childhood lymphoblastic lymphoma diagnosis and pregnancy
1,soft tissue sarcoma diagnosis and three or more lung lesions in total
0,malignant rhabdoid tumor diagnosis and known history of uncontrolled sleep_apnea syndrome or other conditions that could result in excessive_daytime sleepiness such as severe chronic obstructive pulmonary disease or requirement for supplemental oxygen
0,glioma diagnosis and inadequately controlled hypertension systolic blood pressure sbp greater_than one hundred and sixty mm hg and or diastolic pressure dbp greater_than ninety mm hg despite antihypertensive therapy
0,recurrent fallopian tube carcinoma diagnosis and decompensated liver disease
0,estrogen receptor positive breast cancer diagnosis and manifested pulmonary toxicity during the initial transplant period and have diffusion capacity corrected equal_than less_than sixty
1,hertwo negative locally advanced breast cancer diagnosis and dated and signed patient informed consent before start of any in the protocol specified procedures
0,anaplastic ependymoma diagnosis and core biopsy or other minor surgical procedure excluding placement of vascular access device within seven days prior to day one
1,stage diffuse large cell lymphoma diagnosis and patients with hbsag negative but hbcab positive regardless of hbsab status should have hepatitis virus hbv deoxyribonucleic acid dna testing done and protocol eligibility determined as follows
0,childhood grade meningioma diagnosis and patient must have no uncontrolled infection
1,stage iii verrucous carcinoma of the larynx diagnosis and cardiac arrhythmia or serious ventricular arrhythmia ventricular fibrillation or ventricular tachycardia greater_than three beats in row within the past twelve months
1,ovarian carcinosarcoma diagnosis and albumin greater than or equal to doc dl
1,stage iv adult diffuse small cleaved cell lymphoma diagnosis and must have less_than five marrow blasts at the time of transplant
1,stage grade one follicular lymphoma diagnosis and chronic myeloid leukemia cml
0,stage ic fallopian tube cancer diagnosis and history of pulmonary embolism or deep vein thrombosis in the past six months
0,recurrent refractory childhood hodgkin lymphoma diagnosis and any current central nervous system cns involvement with disease refractory to intrathecal chemotherapy
0,childhood nasal type extranodal nk cell lymphoma diagnosis and patients who have an uncontrolled infection are not eligible
0,stage iv gastric cancer diagnosis and patients who had history of serious gastrointestinal bleeding or with diseases that could affect the absorption of oral medication malabsorption syndrome active peptic ulcer
0,lymphoma low grade diagnosis and total bilirubin greater than two times the upper limit of normal except when due to gilbert syndrome or hemolysis
0,refractory multiple myeloma diagnosis and pregnant women or women of reproductive ability who are unwilling to use effective contraception
1,recurrent squamous cell carcinoma of the larynx diagnosis and prior therapy with agents targeting blocking the epidermal growth factor receptor cetuximab and erlotinib is allowable
0,lymphoma follicular diagnosis and known seropositive for or active infection with hepatitis virus hcv
0,malignant glioma diagnosis and pregnancy
0,cutaneous cell lymphoma diagnosis and initiation of or change in dosage of topical corticosteroids within three weeks of study treatment topical steroid use within three weeks is allowed provided the strength and use has been stable for at least four weeks
1,recurrent squamous cell carcinoma of the oropharynx diagnosis and no history of allergic reactions attributed to compounds of similar chemical or biologic composition to bevacizumab or other agents used in this study
0,regional digestive system neuroendocrine tumor gone diagnosis and patients on anticoagulant therapy
0,unresectable solid neoplasm diagnosis and patients with human immunodeficiency virus hiv will not be denied an opportunity to participate in this clinical trial if they have adequate cluster of differentiation cd four counts greater_than two hundred and fifty cdfour positive lymphocytes ul and would be able to be maintained on an antiretroviral combination without pronounced effects on cytochrome cyp threeafour twocnine or twoc1nine
1,biliary tract cancer diagnosis and creatinine
0,stage iii multiple myeloma diagnosis and potential donors who for psychological physiological or medical reasons cannot tolerate administration of csf or apheresis
0,childhood burkitt lymphoma diagnosis and central nervous system cns involvement with disease refractory to intrathecal chemotherapy
0,carcinoma non small cell lung diagnosis and prior therapy with vorinostat hdac inhibitors or bortezomib
0,recurrent adult diffuse large cell lymphoma diagnosis and pregnant or breast feeding women will not be entered on this study pregnancy tests must be obtained in girls who are post menarchal males or females of reproductive potential may not participate unless they have agreed to use an effective contraceptive method
0,ductal carcinoma in situ diagnosis and regional lymph node xrt indicated
0,recurrent adult immunoblastic large cell lymphoma diagnosis and age less than twelve years
0,clinically significant evidence of active central nervous system lymphoma
1,noncontiguous stage ii grade two follicular lymphoma diagnosis and donor
0,adult grade iii lymphomatoid granulomatosis diagnosis and even though patients may be ineligible to participate in the drug interaction study they can still participate in the phase clinical trial
0,macroscopic or microscopic evidence of remaining tumor
0,neoplasm metastasis diagnosis and maximum cumulative gtv of more than thirtycmthree on planning mri
1,neoplasms diagnosis and adult patients greater_than equal_than eighteen years of age
0,ganglioneuroblastoma diagnosis and individuals with history of other malignancies are eligible if they have been disease free for at least five years and are deemed by the investigator to be at low risk for recurrence of that malignancy
1,lung cancer diagnosis and not specified
1,myxoid liposarcoma diagnosis and life expectancy of at least three months
0,ovarian endometrioid adenocarcinoma diagnosis and patients whose circumstances at the time of entry onto the protocol would not permit completion of study or required follow up
0,stage ib uterine corpus cancer diagnosis and patients who have history of congestive heart failure chronic renal disease or chronic liver disease
1,gastrointestinal stromal tumor diagnosis and rifampin
1,progesterone receptor negative breast cancer diagnosis and her two not amplified by fluorescence in situ hybridization
0,tumors diagnosis and concurrent severe and or uncontrolled medical disease uncontrolled diabetes congestive cardiac failure myocardial infarction within six months poorly controlled hypertension history of labile hypertension history of poor compliance with antihypertensive regimen chronic renal disease or active uncontrolled infection which could compromise participation in the study
0,rectal neoplasms diagnosis and unable to give written informed consent
0,vulvar cancer diagnosis and patients with known hypersensitivity to imiquimod
0,patients with primary cns tumor or cns tumor involvement
0,sarcoma differentiation score two diagnosis and patients who have had prior treatment with anti pdone or anti ctlafour therapy
1,bladder cancer diagnosis and ttwo gthree only or tthree four any nzero two or any none two mzero
0,stage iiic breast cancer diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with gdc four hundred and forty-nine or rofour million
0,metastatic colorectal cancer diagnosis and the use of ace inhibitors is not permitted during the study
1,neoplasms diagnosis and life expectancy determined to be greater than or equal to six months
0,ependymoma diagnosis and patients with uncontrolled seizures are not eligible for study entry
0,anaplastic oligodendroglioma diagnosis and any other clinically significant medical disease or condition laboratory abnormality or psychiatric illness that in the investigator opinion may interfere with protocol adherence or subject ability to give informed consent
1,recurrent childhood large cell lymphoma diagnosis and acute myeloid leukemia with high risk features as defined by
0,breast neoplasms diagnosis and serious concomitant pathology or uncontrolled that is susceptible to compromise the participation in the study
0,other concurrent investigational anticancer therapy
0,lymphoma diagnosis and previous history of congestive heart failure allowed
0,non melanotic skin cancer or carcinoma in situ of the cervix note
0,childhood nasal type extranodal nk cell lymphoma diagnosis and donor
0,multiple myeloma diagnosis and patient has ³grade two peripheral neuropathy within fourteen days before enrollment
0,t cell lymphoma diagnosis and total bilirubin greater_than institutional upper limit of normal uln unless due to hemolysis or gilbert disease
0,pancreatic cancer diagnosis and history of or presence of clinically significant uncontrolled ventricular or atrial tachyarrhythmia
0,non small cell lung cancer diagnosis and the subject meets any of the following cardiac criteria
0,ds stage plasma cell myeloma diagnosis and patient who has had chemotherapy radiotherapy or biological therapy within thirty days forty-two days for nitrosoureas or mitomycin prior to initial dosing with study drug or who has not recovered from adverse events due to agents administered more than thirty days earlier patients who have received localized consolidation radiation to bone only less than thirty days prior to study entry are allowed
0,stage iv grade three follicular lymphoma diagnosis and use of any other experimental drug within twenty-eight days of baseline
0,recurrent ovarian carcinoma diagnosis and significant acute or chronic medical neurologic or psychiatric illness in the subject that in the judgment of the investigator could compromise subject safety limit the subject ability to complete the study and or compromise the objectives of the study
0,refractory hodgkin lymphoma diagnosis and donor
1,multiple myeloma and plasma cell neoplasm diagnosis and prior or concurrent prednisolone at thirty mg mtwo day or less or equivalent doses of other corticosteroids for relief of fluid unresponsive hypercalcemia allowed
0,multiple myeloma diagnosis and diagnosed or treated for another malignancy within five years before study enrollment or previously diagnosed with another malignancy and have any evidence of residual disease
0,recurrent squamous cell carcinoma of the lip and oral cavity diagnosis and clinically significant gastrointestinal bleeding or uncontrolled peptic ulcer disease
1,prior local therapies such as surgical resection radiofrequency ablation or alcohol injection are allowed as long as tumor progresses from the prior treatment and the patients are still candidates for tae
1,non small cell lung cancer diagnosis and patients who are suitable for treatment with radical intent using concurrent chemotherapy and radiation
1,because breast carcinoma is disease of adults that rarely occurs in children children are excluded from this study
1,stage ii neuroendocrine carcinoma of the skin diagnosis and ast alt equal_than less_than doc times upper limit of normal
1,tumor tissue blocks or fifteen twenty unstained tissue slides for confirmatory central laboratory hertwo status testing and other exploratory assessments
0,stage iiib breast cancer diagnosis and have uncontrolled hypertension greater_than one hundred and fifty one hundred mm hg despite optimal medical therapy
1,recurrent gallbladder cancer diagnosis and patients may not be receiving any other investigational agents nor have participated in an investigational trial within the past thirty days
0,recurrent childhood anaplastic large cell lymphoma diagnosis and female patients who are pregnant or breastfeeding
0,breast cancer diagnosis and for safety reasons electrical stimulation should be avoided in patients with pacemakers
0,noncontiguous stage ii adult lymphoblastic lymphoma diagnosis and infection with hiv
1,unspecified childhood solid tumor protocol specific diagnosis and life expectancy
0,recurrent rectal cancer diagnosis and concurrent use of systemic corticosteroids
0,patients who have residual toxicity ities from previous anti cancer treatment that is are clinically significant or greater_than grade one are excluded those whose toxicity ities improved to grade one or better will be eligible
0,metastatic breast cancer diagnosis and patients with pre existing neuropathy greater_than grade two
0,prostate cancer diagnosis and urinary tract infection or acute or chronic prostatitis
1,parameningeal and paraspinal tumors allowed
0,recurrent mantle cell lymphoma diagnosis and donor
1,prostate cancer diagnosis and serum potassium greater_than doc mmol l
1,stage iii primary peritoneal cancer diagnosis and patient can read and understand sufficient english to be able to respond to questions posed by the study instruments
1,stage ii adult contiguous immunoblastic lymphoma diagnosis and mantle cell nhl may be treated in first complete response cr diagnostic lumbar_puncture lp required pretransplant
1,breast cancer diagnosis and unresected clinical stage tonec ttwo tthree or tfour lesion any n
1,mantle cell lymphoma diagnosis and absolute neutrophil count anc greater_than equal_than one thousand
0,fallopian tube endometrioid adenocarcinoma diagnosis and patients who have participated in marathon_triathlon or other endurance related physical activity within the previous twenty-four months
0,head neck cancer diagnosis and inability to comply with study and or follow up procedures
0,non small cell lung cancer diagnosis and deep vein thrombosis within one year prior to screening
0,colorectal cancer diagnosis and one of the following conditions
0,advanced solid tumors part b d diagnosis and warfarin phenytoin or other substrates of cyptwoceight or cyptwocnine with narrow therapeutic range
1,untreated childhood supratentorial primitive neuroectodermal tumor diagnosis and creatinine clearance twelve or twenty-four hour urine collection or glomerular filtration rate gfr greater_than sixty ml min doc three two
0,aggressive non hodgkin lymphoma diagnosis and nursing mother
1,head and neck cancer diagnosis and endocrine therapy
0,stage ibone cervical cancer diagnosis and patients with clear cell or neuroendocrine cell types
0,esophageal cancer diagnosis and patients with known hypersensitivity to taxanes or platinums are to be excluded
0,stage iiib fallopian tube cancer diagnosis and patients who have received previous treatment for this malignancy other than surgery
0,iris melanoma diagnosis and prior organ allograft or allogeneic transplantation if the transplanted tissue is still in place
1,breast cancer diagnosis and the patient granted her consent for taking biopsy before treatment
1,recurrent rectal cancer diagnosis and no myocardial infarction within the past six months
0,estrogen receptor positive breast cancer diagnosis and patients with clinically manifest diabetes mellitus history of gestational diabetes mellitus or documented steroid induced diabetes mellitus
0,the subject has evidence of tumor invading the gastrointestinal gi tract esophagus stomach small or large bowel rectum or anus or any evidence of endotracheal or endobronchial tumor equal_than less_than twenty-eight days before the first dose of cabozantinib
0,malignant melanoma diagnosis and g
0,patients with only peripheral lung lesions of any nsclc histology will also be eligible peripheral lesion is defined as lesion in which the epicenter of the tumor is less_than two cm from the costal or diaphragmatic pleura in three dimensional orientation based on each lobe of the lung and is greater_than two cm from the trachea main and lobar_bronchi
0,recurrent pancreatic cancer diagnosis and patients with any grade electrolyte abnormalities that are unable to be corrected by day one
0,prostate adenocarcinoma diagnosis and human immunodeficiency virus hiv positive with cluster of differentiation cd four count less_than two hundred cells microliter note that patients who are hiv positive are eligible provided they are under treatment with highly active antiretroviral therapy haart and have cdfour count greater_than equal_than two hundred cells microliter within thirty days prior to registration note also that hiv testing is not required for eligibility for this protocol
0,noncontiguous stage ii grade one follicular lymphoma diagnosis and any other condition not defined above including the presence of laboratory abnormalities which in the opinion of the investigator would place the subject at unacceptable risk if he she were to participate in the study or would confound the ability to interpret data from the study
0,pancreatic ductal adenocarcinoma diagnosis and subjects with history of connective tissue disorders eg lupus scleroderma arteritis nodosa
0,squamous cell carcinoma of the head and neck diagnosis and use of strong or moderate cypthreeafour or cyponeatwo inhibitors inducers with the exception of low dose steroids within onefour days prior to day one dosing
0,stage iiic melanoma diagnosis and patients with active infection at time of bx
0,recurrent malignant neoplasm diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with cabozantinib
0,pretext stage two hepatoblastoma diagnosis and patients with stage or ii disease who do not have specimens submitted for rapid central pathology review by day fourteen after initial surgical resection
1,gestational_trophoblastic tumor diagnosis and no other prior chemotherapy
1,recurrent adult liver carcinoma diagnosis and ecog zero one
1,stage ii childhood hodgkin lymphoma diagnosis and fertile patients must use effective contraception
0,breast cancer diagnosis and patients who for whatever reason confusion infirmity alcoholism are unlikely to comply with trial requirements
0,unspecified adult solid tumor protocol specific diagnosis and sensitivity to sulfa drugs or adverse reactions to sulfonylureas
1,stage iva rectal cancer diagnosis and patients must not have received prior chemotherapy or pelvic irradiation therapy
1,recurrent neuroblastoma diagnosis and lymphoid myeloid or mixed lineage
0,stage iic rectal cancer diagnosis and regularly engaged greater_than equal_than three days week in moderate physical activity of any kind yoga over the past four weeks
1,stage iv melanoma diagnosis and no pulmonary embolus within the past year
1,kidney cancer diagnosis and no diabetes mellitus
0,melanoma diagnosis and white blood cell wbc three thousand mm three or greater
0,recurrent marginal zone lymphoma diagnosis and fertile men or women unwilling to use contraceptive techniques during and for twelve months following treatment
0,fallopian tube mucinous adenocarcinoma diagnosis and left ventricular ejection fraction lvef less than normal per institutional guidelines or less_than fifty-five if threshold for normal not otherwise specified by institutional guidelines
1,multiple myeloma diagnosis and platelets greater_than fifty zero mmthree independent of transfusion
1,stage adult burkitt lymphoma diagnosis and eastern cooperative oncology group ecog status of zero three
1,rhabdomyosarcoma recurrent refractory diagnosis and participants must have fully recovered from the acute toxic effects of chemotherapy immunotherapy or radiotherapy prior to entering this study
1,non melanomatous skin cancer diagnosis and no known hiv positivity
0,stage iii pancreatic cancer diagnosis and medical psychological or social conditions that in the opinion of the investigator may increase the patient risk or interfere with the patient participation in the study or hinder evaluation of the study results
1,neoplasms diagnosis and patients must have recovered to eligibility levels from prior toxicity or adverse events
0,stage ivb colon cancer diagnosis and patients with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events
1,symptomatic congestive heart failure
0,stage iii grade three follicular lymphoma diagnosis and donor
0,metastatic breast cancer diagnosis and subjects who meet any of the following criteria will be excluded from this study
0,non hodgkins lymphoma diagnosis and prior radiation therapy with four hundredcgy or more of tbi
0,stage iva colon cancer diagnosis and chemotherapy equal_than less_than fourteen days prior to registration
0,cancer of the nasal cavity diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to cisplatin five fluorouracil or hydroxyurea
1,stage iv grade one follicular lymphoma diagnosis and donor
0,lung neoplasms diagnosis and female patients
1,malignant tumor of breast diagnosis and able to swallow and retain oral medication
1,stage iia non small cell lung cancer diagnosis and patient eligibility criteria for entry into the project include
1,stage iv squamous cell carcinoma of the lip and oral cavity diagnosis and protein less_than one on twenty-four hour urine collection
0,stage iiib breast cancer diagnosis and spouses could not participate if the ill partner refused participation
1,grade two follicular lymphoma diagnosis and eight dl may be transfused
0,human epidermal growth factor receptor two positive hertwo positive breast cancer as defined in the protocol
0,lung cancer diagnosis and diagnosis of sclc predominantly squamous nsclc greater_than fifty by central pathology review or combined sclc nsclc
1,lymphoma hodgkin and non hodgkin diagnosis and must be less_than twenty-two years of age
0,malignant neoplasms of female genital organs diagnosis and periodic abstinence calendar_ovulation symptothermal or postovulation methods and withdrawal are not acceptable methods of contraception
1,lymphoma diagnosis and prior concurrent therapy
0,recurrent small lymphocytic lymphoma diagnosis and donor
1,multiple myeloma and plasma cell neoplasm diagnosis and radiotherapy
0,stomach neoplasms diagnosis and myocardial infarction within the last six months
1,breast neoplasm diagnosis and no diabetes mellitus iddm and non iddm
0,fallopian tube endometrioid adenocarcinoma diagnosis and known hypersensitivity to chinese_hamster ovary cell products or other recombinant human antibodies
0,solid tumor diagnosis and major surgery to the upper gastrointestinal gi tract or have history of gi disease or other medical condition that in the opinion of the investigator may interfere with oral drug absorption
0,soft tissue sarcoma diagnosis and history of allergic reaction or known hypersensitivity to contrast agents except if the patient tumour can be evaluated using mri without contrast agents
0,breast cancer diagnosis and prior herceptin therapy
1,lymphoma diagnosis and performance status
1,contiguous stage ii adult diffuse mixed cell lymphoma diagnosis and ecog performance status of equal_than less_than two at study entry karnofsky performance status of greater_than equal_than seventy at study entry
0,gastric cancer diagnosis and allergic constitution or allergic history to protium biologic product or any investigating agents
0,non muscle invasive urothelial carcinoma diagnosis and john wort kava_ephedra ma_huang gingko bilboa dehydroepiandrosterone_dhea yohimbe_saw palmetto and ginseng within seven days prior to first dose
0,recurrent mantle cell lymphoma diagnosis and currently treated with therapeutic dose of anti coagulation for recent pulmonary embolism or deep vein thrombosis
0,liver neoplasms diagnosis and severe renal insufficiency egfr estimated glomerular filtration rate less_than thirty
0,stage ii thyroid gland follicular carcinoma diagnosis and gastrointestinal perforation
0,colorectal neoplasms diagnosis and any other investigational agent received within three weeks prior to randomization
1,recurrent colon cancer diagnosis and bilirubin normal
0,noncontiguous stage ii grade two follicular lymphoma diagnosis and life expectancy severely limited by diseases other than malignancy
0,stomach neoplasms diagnosis and appropriate studies will be undertaken in patients receiving combination antiretroviral therapy when indicated
1,splenic marginal zone lymphoma diagnosis and donor
1,hepatocellular carcinoma diagnosis and able to tolerate oral therapy
1,stage iia pancreatic cancer diagnosis and asat sgot and alat sgpt equal_than less_than doc unl
0,noncontiguous stage ii mantle cell lymphoma diagnosis and positive serology for hepatitis hc defined as positive test for hcab
0,multiple myeloma diagnosis and subject has had plasmapheresis within fourteen days of treatment
0,multiple myeloma diagnosis and fever or active infection requiring iv antibiotics
1,stage iva uterine corpus cancer diagnosis and creatinine less than doc mg dl
0,ureter cancer diagnosis and prior treatment with any investigational drug within the preceding four weeks
1,cldneighteen two positive gastric adenocarcinoma diagnosis and age greater_than eighteen years
0,stage iii bladder cancer diagnosis and patients must not be taking the cytochrome pfour hundred and fifty enzyme inducing antiepileptic drugs phenytoin carbamazepine or phenobarbital rifampin or st
0,hepatoma diagnosis and patients who meet any one of the following criteria will be excluded from study entry
1,recurrent mantle cell lymphoma diagnosis and prior to administration of ibrutinib day sixty to day ninety post hematopoietic cell transplant
